FECHA	CIERRE1 CIERRE2
06-15-11	73.85	18.39
06-16-11	74.01	18.44
06-17-11	74.16	18.49
06-20-11	74.52	18.48
06-21-11	73.98	18.81
06-22-11	72.12	18.56
06-23-11	71.25	18.38
06-24-11	71.26	17.97
06-27-11	71.62	18.28
06-28-11	72.09	18.44
06-29-11	72.72	18.56
06-30-11	73.93	18.86
07-01-11	74.27	19.2
07-05-11	74.15	19.04
07-06-11	74.74	19.05
07-07-11	75.99	19.3
07-08-11	75.07	18.99
07-11-11	73.35	18.63
07-12-11	71.93	18.38
07-13-11	72.17	18.51
07-14-11	71.19	18.53
07-15-11	71.28	18.41
07-18-11	69.55	18.29
07-19-11	70.53	18.58
07-20-11	72.07	18.79
07-21-11	72.89	19.16
07-22-11	72.67	19.04
07-25-11	71.31	18.96
07-26-11	70.16	18.56
07-27-11	70.63	18.11
07-28-11	70.66	18.11
07-29-11	70.47	17.91
08-01-11	70.33	17.97
08-02-11	67.7	17.21
08-03-11	67.34	17.47
08-04-11	63.09	16.47
08-05-11	62.75	16.51
08-08-11	58.71	15.43
08-09-11	62.34	15.96
08-10-11	57.41	15.09
08-11-11	58.85	15.68
08-12-11	61.75	15.88
08-15-11	62.7	16.39
08-16-11	62.23	16.15
08-17-11	62.18	16.23
08-18-11	58.93	15.34
08-19-11	57.54	15.09
08-22-11	58.38	15.11
08-23-11	60.77	15.54
08-24-11	61.69	15.72
08-25-11	61.1	15.45
08-26-11	62.8	15.54
08-29-11	64.6	16.04
08-30-11	66.03	16.12
08-31-11	66.86	16.31
09-01-11	66.05	16.2
09-02-11	64.03	15.76
09-06-11	62.77	15.25
09-07-11	64.9	15.8
09-08-11	62.81	15.59
09-09-11	61.79	15.09
09-12-11	62.39	15.01
09-13-11	62.85	15.41
09-14-11	63.03	15.79
09-15-11	64.32	16.08
09-16-11	65.38	16.33
09-19-11	64.15	16.18
09-20-11	63.56	16.04
09-21-11	61.02	15.38
09-22-11	58.72	15.04
09-23-11	59.51	15.21
09-26-11	62.01	15.57
09-27-11	62.78	15.76
09-28-11	61.92	15.45
09-29-11	62.37	15.86
09-30-11	60.51	15.22
10-03-11	58.25	14.69
10-04-11	59.14	14.86
10-05-11	59.96	15.27
10-06-11	61.48	15.53
10-07-11	61.81	15.5
10-10-11	64.03	16.14
10-11-11	63.97	16.14
10-12-11	64.32	16.4
10-13-11	63.53	16.22
10-14-11	63.89	16.6
10-17-11	61.78	16.23
10-18-11	63.47	16.71
10-19-11	63.11	16.52
10-20-11	62.49	16.63
10-21-11	64.59	16.31
10-24-11	64.75	16.45
10-25-11	63.72	16.22
10-26-11	66.56	16.35
10-27-11	67.49	17.37
10-28-11	68.17	17.25
10-31-11	65.79	16.71
11-01-11	63.17	16.02
11-02-11	64.4	16.25
11-03-11	66.19	16.67
11-04-11	65.8	16.39
11-07-11	66.29	16.39
11-08-11	66.65	16.48
11-09-11	64.55	15.85
11-10-11	64.83	16.06
11-11-11	66.92	16.3
11-14-11	67.94	16.1
11-15-11	67.94	16.2
11-16-11	66.34	15.95


